UID,input,output
605304,yad_ezo_'nuzwupSirAH_pragATo_Bavati_virAx_eva_jyotizAnupaSyann_anuzwuBA_vajreNa_rAtrer_BrAtRvyaM_nirhanti,yat_ezaH_anuzwuB_SirAH_pragATaH_Bavati_virAj_eva_jyotizA_anupaSyan=_anuzwuBA_vajreNa_rAtreH_BrAtRvyam_nirhanti
32075,yA_paSuzu_taya_RteyajQam,yA_paSuzu_taya_Rte_yajQam
54157,yena_paTA_vEvasvato_yamo_rAjA_no_yayO_agnir_nas_tena_nayatu_prajAnan_vESvAnaraH_paTikRd_viSvagRzwiH,yena_paTA_vEvasvato_yamo_rAjA_no_yayO_agnir_nas_tena_nayatu_prajAnan_vESvAnaraH_paTikRd_viSvak_RzwiH
18574,hRdayasya_hRlleKayadaNlAsezu,hRdayasya_hRd_leKa_yat_aN_lAsezu
449886,KarozwrayAnahastyaSvanOvRkzagirirohaNe,Kara_uzwra_yAna_hasti_aSva_nO_vRkza_giri_rohaNe
348281,taTApi_tayA_DUrtasya_kaTitaM_mAM_rAtrO_BartRKawvAsTitAmarvAksuptAM_Baja_tvam,taTA_api_tayA_DUrtasya_kaTitam_mAm_rAtrO_BartR_KawvA_sTitAm_arvAk_suptAm_Baja_tvam
441830,oM_jQAnine_WaWa_SiKAyE_namaH,om_jQAnine_Wa_Wa_SiKAyE_namaH
441828,oM_sarvatejo'Dipataye_WaWa_astrAya_namaH,om_sarva_tejaH_aDipataye_Wa_Wa_astrAya_namaH
319154,OdBidaM_tu_punarvanaspativAnaspatyavIrudOzaDiBedena_caturviDaM_Bavati,OdBidam_tu_punar_vanaspati_vAnaspatya_vIruD_OzaDi_Bedena_caturviDam_Bavati
17227,Am_etaH,Am_e_taH
16107,ha_eti,ha_e_ti
471217,trizwubityuktASCandAMsi_harayo_hareH,trizwuB_iti_uktAH_CandAMsi_harayaH_hareH
342210,SoParAgarujAdInAm_aDimanTasya_codBavaH,SoPa_rAga_ruj_AdInAm_aDimanTasya_ca_udBavaH
344426,apAFge_vA_kanIne_vA_kaNxUzApakzmapowavAn,apAFge_vA_kanIne_vA_kaNxU_UzA_pakzma_powavAn
16605,diva_Ot,diva_O_t
463188,pratApya_majjitaM_samyakKarparaM_pariSuDyati,pratApya_majjitam_samyak_Karparam_pariSuDyati
15986,zawkatikatipayacaturAM_Tuk,zaz_kati_katipaya_caturAm_Tuk
16671,na_mAFyoge,na_mAF_yoge
734,SvaSSvas_BUyAn_Bavati,Svas_Svas_BUyAn_Bavati
15968,ner_bixajbirIsacO,ner_bixac_birIsacO
18483,divAdiByaH_Syan,div_AdiByaH_Syan
96979,sa_ha_tad_eva_nOmaNxe_upaSiSleza_jalAyukA_vA_tRNajalAyukA_vA_BUtvA,sa_ha_tad_eva_nO_maNxe_upaSiSleza_jalAyukA_vA_tRNajalAyukA_vA_BUtvA
535589,tAvajJawiti_sA_kanyA_jvAlAmAlAviBUzitA,tAvat_Jawiti_sA_kanyA_jvAlA_mAlA_viBUzitA
272038,pratilome_hi_samyagOzaDamavatizWate_'nupraviSati_romakUpAn_svedavAhiBiS_ca_sirAmuKEr_vIryaM_prApnoti,pratilome_hi_samyak_OzaDam_avatizWate_anupraviSati_romakUpAn_sveda_vAhiBiH_ca_sirA_muKEH_vIryam_prApnoti
16053,AlajAwacO_bahuBAziNi,Alac_AwacO_bahu_BAziNi
257450,tatas_tallAvaNyaguNAkRzwena_mayApi_tatpaScAjJampo_dattaH,tatas_tad_lAvaNya_guNa_AkRzwena_mayA_api_tat_paScAt_JampaH_dattaH
69860,itarapANyaFguzWAntareNopavItitvAt_dakziNena_vA_savyopagRhItena_pitar_idaM_te_'rGyaM_pitAmahedaM_te_'rGyaM_prapitAmahedaM_te_'rGyam_ity_appUrvam,itara_pANi_aFguzWa_antareNa_upavIti_tvAt_dakziNena_vA_savya_upagRhItena_pitar_idaM_te_'rGyaM_pitAmaha_idam_te_'rGyaM_prapitAmaha_idam_te_'rGyam_ity_ap_pUrvam
72317,udaFvE_prAF_tizWanprajApatiH_prajA_asRjat,udaF_vE_prAF_tizWan_prajApatiH_prajA_asRjat
604124,devA_vA_ukTAny_aBijitya_rAtriM_nASaknuvann_aBijetuM_te_'surAn_rAtriM_tamaH_pravizwAM_nAnuvyapaSyaMs_ta_etam_anuzwupSirasaM_pragATam_apaSyan_virAjaM_jyotiH_tAn_virAjA_jyotizAnupaSyanto_'nuzwuBA_vajreNa_rAtrer_nirAGnan,devAH_vE_ukTAni_aBijitya_rAtrim_na_aSaknuvan=_aBijetum_te_asurAn_rAtrim_tamaH_pravizwAm_na_anuvyapaSyan=_te_etam_anuzwuB_Sirasam_pragATam_apaSyan_virAjam_jyotiH_tAn_virAjA_jyotizA_anupaSyantaH_anuzwuBA_vajreNa_rAtreH_nirAGnan
441829,oM_sahasraraSmaye_WaWa_kavacAya_namaH,om_sahasraraSmaye_Wa_Wa_kavacAya_namaH
73526,trizwuptvAvatu_bRhatsAma_paQcadaSa_stomo_grIzma_RtuH_kzatraM_draviNam,trizwuB_tvA_avatu_bRhat_sAma_paQcadaSa_stomo_grIzma_RtuH_kzatraM_draviNam
250395,JillIJaFkAravAcAle_kAle_prAvRzi_cAgate,JillI_JaFkAra_vAcAle_kAle_prAvRzi_ca_Agate
555668,tataH_pratihate_tasmin_suhRdmaNxalamaNxane,tatas_pratihate_tasmin_suhRd_maNxala_maNxane
576147,AyuDAnAM_mahAnoGaH_sAgarOGe_patatyapi,AyuDAnAm_mahAn_oGaH_sAgara_oGe_patati_api
23747,na_sopAnahvezwitaSirAH_avahitapANir_vABivAdayIta,na_sa_upAnah_vezwita_SirAH_avahita_pANiH_vA_aBivAdayIta
73440,trivRdagnizwomaH_paQcadaSa_ukTyaH_saptadaSaM_tRtIyamahaH_sokTakam_ekaviMSaH_zoxaSI_paQcadaSI_rAtris_trivRt_sanDir_ity_ezo_anuzwupsampannaH_tena_hEtena_DvasA_dvEtavana_Ije_mAtsyo_rAjA_yatrEtaddvEtavanaM_saras_tad_etadgATayABigItaM_caturdaSa_dvEtavano_rAjA_saFgrAmajidDayAn_indrAya_vRtraGne_'baDnAt_tasmAd_dvEtavanaM_sara_iti,trivRt_agnizwomaH_paQcadaSa_ukTyaH_saptadaSaM_tRtIyam_ahar_sokTakam_ekaviMSaH_zoxaSI_paQcadaSI_rAtris_trivRt_sanDir_ity_ezo_anuzwuB_sampannaH_tena_ha_etena_DvasA_dvEtavana_Ije_mAtsyo_rAjA_yatra_etat_dvEtavanam_saras_tad_etat_gATayA_aBigItam_caturdaSa_dvEtavano_rAjA_saFgrAma_jit_hayAn_indrAya_vRtra_Gne_'baDnAt_tasmAd_dvEtavanaM_sara_iti
17223,lowo_laFvat,lowo_laF_vat
66744,sahasrAkzO_vRtrahaNA_huve_vAM_dUrehetI_svanannemI_ugrO,sahasra_akzO_vRtra_haNA_huve_vAM_dUre_hetI_svanat_nemI_ugrO
420419,durnAmAni_ca_zaxBinatti_harate_sarvArtirogolbaNaM_mehOGaM_ca_lunAti_SoNitadaraM_viDvaMsate_sevanAt,durnAmAni_ca_zax_Binatti_harate_sarva_Arti_roga_ulbaNam_meha_oGam_ca_lunAti_SoNitadaram_viDvaMsate_sevanAt_
17759,tujAdInAM_dIrGo_'ByAsasya,tuj_AdInAm_dIrGo_'ByAsasya
16603,SapSyanor_nityam,Sap_SyanoH_nityam
604397,tad_vE_sa_prANvIryaM_prAbRhata_prANA_vA_OSanam,tat_vE_sa_prAN_vIryam_prAbRhata_prANAH_vE_OSanam
209660,maDyesenAmuKaM_karNo_vyavAtizWata_daMSitaH,maDye_senA_muKam_karNaH_vyavAtizWata_daMSitaH
332703,tatastayA_jagRhire_svagRhe_prAkKalIkRtAH,tatas_tayA_jagRhire_sva_gRhe_prAk_KalIkRtAH
10039,tasya_dArakasya_jAtamAtrasya_sA_brAhmaNI_vinItakzudduHKA_saMvRttA,tasya_dArakasya_jAta_mAtrasya_sA_brAhmaNI_vinIta_kzuD_duHKA_saMvRttA
16613,tRjvat_krozwuH,tRc_vat_krozwuH
18042,vyAFpariByaH_ramaH,vi_AF_pariByaH_ramaH
37542,trizwupsahasram_eke_jagatIsahasram_eke_anuzwupsahasram_eke,trizwuB_sahasram_eke_jagatI_sahasram_eke_anuzwuB_sahasram_eke
331581,digASA_ca_haritkAzWA_kakupsA_ca_nideSinI,diS_ASA_ca_harit_kAzWA_kakuB_sA_ca_nideSinI
400689,BasmasUtasamo_ganDa_ityanena_rasAdiSilAjatuparyantaM_dravyaM_pRTakzoxaSaSANamitaM_grAhyaM_tatra_mRtAyo_mAritalohacUrNaM_mRtatAmracUrNaM_ca_triPalAharItakyAdikaM_mahAnimbo_loke_vakAina_SabdavAcyaH,Basma_sUta_samaH_ganDaH_iti_anena_rasa_Adi_SilAjatu_paryantam_dravyam_pRTak_zoxaSa_SANa_mitam_grAhyam_tatra_mRta_ayaH_mArita_loha_cUrNam_mRta_tAmra_cUrNam_ca_triPalA_harItakyAdikam_mahAnimbaH_loke_vakAina_Sabda_vAcyaH
264561,kzudyasya_tasya_Bukte_'nne_tRptirbrAhmaNa_jAyate,kzuD_yasya_tasya_Bukte_anne_tRptiH_brAhmaNa_jAyate
291800,tadbahizwaFkaNenEva_loNamRttikayA_tataH,tad_bahis_waFkaNena_eva_loNamRttikayA_tatas_
343729,appAnaskanDaGAtAByAM_grAsaSalyaM_praveSayet,ap_pAna_skanDa_GAtAByAm_grAsa_Salyam_praveSayet_
246729,aTa_prAFprekzate,aTa_prAF_prekzate
68243,agnir_nas_tena_nayatu_prajAnan_vESvAnaraH_paTikRd_viSvagRzwiH,agnir_nas_tena_nayatu_prajAnan_vESvAnaraH_paTikRd_viSvak_RzwiH
278794,samidyuktena_hastena_lalAwaM_pramamArja_ha,samiD_yuktena_hastena_lalAwam_pramamArja_ha
16986,prAcAm_upAder_axajvucO_ca,prAcAm_upa_AdeH_axac_vucO_ca
284841,gAyatrI_ca_bRhatyuzNig_jagatI_trizwubeva_ca,gAyatrI_ca_bRhatI_uzNih_jagatI_trizwuB_eva_ca
94790,tAvattatpadamuktaM_no_suptiFniyamayantritam,tAvat_tat_padam_uktam_no_sup_tiF_niyama_yantritam
610717,aBivadanti_sTUlamanantaM_mahAScaryam_adIrGam_alohitam_amastakam_ata_aganDam_arasam_acakzuzkam_aSrotram_avAFmano_apramANam_anusuKam_anAmagotram_amaram_ajaram_anAmayam_amRtam_oMSabdam_amRtam_asaMvRtam_apUrvam_anaparam_anantam_abAhyaM_tad_aSnAti_kiMcana_na_tad_aSnAti_kiMcana,aBivadanti_sTUlam_anantam_mahA_AScaryam_adIrGam_alohitam_amastakam_atas_aganDam_arasam_acakzuzkam_aSrotram_avAk_manaH_apramANam_anusuKam_anAma_gotram_amaram_ajaram_anAmayam_amRtam_oM_Sabdam_amRtam_asaMvRtam_apUrvam_anaparam_anantam_abAhyam_tat_aSnAti_kiMcana_na_tat_aSnAti_kiMcana
258584,gurvarTaM_pitRmAtRarTaM_svADyAyArTyupatApinaH,guru_arTam_pitR_mAtR_arTam_svADyAya_arTi_upatApinaH
1615,SvaSSvas_BUyAMso_Bavanti,Svas_Svas_BUyAMso_Bavanti
97941,samijjalAdikaM_cAsya_kAlyaM_kAlyamupAnayet,samiD_jala_Adikam_ca_asya_kAlyaM_kAlyam_upAnayet
426784,svinnaM_tridivasaM_kuryAttasminwaFkaNasEnDavam,svinnam_tri_divasam_kuryAt_tasmin_waFkaNa_sEnDavam
49554,apratiBAmetasmin_ahany_anuzwummAtrAM_kRtvAcakzIran,apratiBAm_etasmin_ahany_anuzwuB_mAtrAm_kRtvA_AcakzIran
496734,vRkzagulmalatAvIrucCedane_japyam_RkSatam,vRkza_gulma_latA_vIruD_Cedane_japyam_Rc_Satam
17804,lopo_vyor_vali,lopo_v_yoH_va_li
586968,mRte_pitari_pitRaMSaM_pararNaM_na_bRhaspatiH,mRte_pitari_pitR_aMSam_para_RNam_na_bRhaspatiH
16460,sarvaBUmipRTivIByAm_aNaQO,sarva_BUmi_pRTivIByAm_aN_aQO
18210,zazWI_sTAneyogA,zazWI_sTAne_yogA
394201,zaw_cakrANi_kramAd_DRtvA_huMhaMsamanunA_suDIH,zax_cakrANi_kramAt_DRtvA_huM_haMsa_manunA_suDIH
16587,zawcaturByaH_ca,zaz_caturByaH_ca
49453,anuzwuppraBRti_vratAt,anuzwuB_praBRti_vratAt
43837,aTa_yad_uccErGozaH_stanayan_bababAkurvan_iva_dahati_yasmAd_BUtAni_vijante_tad_asyEndraM_rUpaM_tad_asya_tenAnuSaMsati,aTa_yad_uccEs_GozaH_stanayan_bababA_kurvan_iva_dahati_yasmAd_BUtAni_vijante_tad_asya_Endram_rUpaM_tad_asya_tena_anuSaMsati
18250,nipAtEr_yadyadihantakuvinnecceccaNkaccidyatrayutam,nipAtEr_yad_yadi_hanta_kuvit_ned_ced_caN_kaccid_yatra_yutam
138659,taM_vikzoBayamANaM_tu_saro_bahuJazAkulam,tam_vikzoBayamANam_tu_saraH_bahu_Jaza_Akulam
274239,tRzNAniroDAdabDAtO_kzINe_tejaH_samudDatam,tRzNA_niroDAt_ap_DAtO_kzINe_tejaH_samudDatam
18531,nandigrahipacAdiByaH_lyuNinyacaH,nandi_grahi_paca_AdiByaH_lyu_Nini_acaH
536041,nEmize_puNyanilaye_nAnARzinizevite,nEmize_puNya_nilaye_nAnA_Rzi_nizevite
37493,paScAt_prAFpucCaM_namas_te_BadrAya_yat_te_pucCaM_yA_te_pratizWeti,paScAt_prAF_pucCam_namas_te_BadrAya_yat_te_pucCaM_yA_te_pratizWA_iti
565283,GAtukAMScakravAkAMSca_kawukAnwiwwiBAn_BawAn,GAtukAn=_cakravAkAn=_ca_kawukAn_wiwwiBAn_BawAn
604361,eza_vE_yajamAnasya_prajApatir_yad_udgAtA_yacCyEtena_hiFkaroti_prajApatir_eva_BUtvA_prajA_aBijiGrati,eza_vE_yajamAnasya_prajApatiH_yat_udgAtA_yat_SyEtena_hiF_karoti_prajApatiH_eva_BUtvA_prajAH_aBijiGrati
328714,sa_SrAvastyAM_GaNwAvaGozaNaM_sArTavAham_AtmAnam_udGozya_zaxvArAn_mahAsamudram_avatIrNaH,sa_SrAvastyAm_GaNwA_avaGozaNam_sArTavAham_AtmAnam_udGozya_zax_vArAt_mahA_samudram_avatIrNaH
73447,aTa_dvitIyayA_zaw_zaw_zaxvA_sahasrANi_yajQe_kokapituH_tava_udIrate_trayastriMSAH_zaw_sahasrANi_varmiNAmiti,aTa_dvitIyayA_zaw_zaw_zax_vA_sahasrANi_yajQe_koka_pituH_tava_udIrate_trayastriMSAH_zaw_sahasrANi_varmiNAm_iti
255277,iti_trivegaM_triJazaM_trivIcam_ekAmBasaM_paQcarayaM_dvikUlam,iti_tri_vegam_tri_Jazam_tri_vIcam_eka_amBasam_paQca_rayam_dvi_kUlam
506658,tena_pApena_samprAptaH_kzudrogastvAM_sadA_nRpa,tena_pApena_samprAptaH_kzuD_rogaH_tvAm_sadA_nRpa
60181,saMSradDatsva_vaco_mahyaM_tataH_paSyasi_pANxavAn,saM_SradDatsva_vaco_mahyaM_tataH_paSyasi_pANxavAn
37454,indrAgnI_yuvaM_su_na_ity_etasyArDarcAn_gAyatrIkAram_uttaram_uttarasyAnuzwupkAraM_prAg_uttamAyAH,indra_agnI_yuvaM_su_na_ity_etasya_arDarcAn_gAyatrI_kAram_uttaram_uttarasya_anuzwuB_kAram_prAg_uttamAyAH
25561,samillakzaNamAha_kAtyAyanaH,samiD_lakzaNam_Aha_kAtyAyanaH
517968,jambUzaNxaSca_tatrEva_sumahAnnandanopamaH,jambU_zaNxaH_ca_tatra_eva_su_mahAn_nandana_upamaH
592650,etezAm_eva_vyatikare_anyato_'rTo_'nyato_'narTo_'nyato_'rTo_'nyato_'rTasaMSayo_'nyato_'rTo_'nyato_'narTasaMSaya_iti_zawsaMkIrNayogAH,etezAm_eva_vyatikare_anyatas_arTaH_anyatas_anarTaH_anyatas_arTaH_anyatas_arTa_saMSayaH_anyatas_arTaH_anyatas_anarTa_saMSayaH_iti_zaw_saMkIrNa_yogAH
483228,abinDanaM_divyaM_vidyudAdi,ap_inDanam_divyam_vidyut_Adi
18046,na_pAdamyAFyamAFyasaparimuharucinRtivadavasaH,na_pA_dami_AF_yam_AF_yasa_pari_muha_ruci_nRti_vada_vasaH
530675,varzARtusamAyoge_sarvA_nadyo_rajasvalAH,varzA_Rtu_samAyoge_sarvAH_nadyaH_rajasvalAH
396880,SarIralakzaNAScAnye_pRTakPalanivedinaH,SarIra_lakzaNAH_ca_anye_pRTak_Pala_nivedinaH
47513,sarvAsvapsUpaspRSet_abuktAH_Sakvarya_iti,sarvAsu_apsu_upaspRSet_ap_uktAH_Sakvarya_iti
17446,liFnimitte_lRF_kriyAtipattO,liF_nimitte_lRF_kriyA_atipattO
258897,syandanASvEH_same_yuDyed_anUpe_nOdvipEs_taTA,syandana_aSvEH_same_yuDyet_anUpe_nO_dvipEH_taTA
448184,dikpAlAn_saha_ratnESca_DAtUnozaDayastaTA,dikpAlAn_saha_ratnEH_ca_DAtUn_ozaDayaH_taTA
434588,dyAvApRTivI_urviti_paraSupalASena_dakziNA_DAvataH_padaM_vRScati,dyAvApRTivI_urU_iti_paraSu_palASena_dakziNA_DAvataH_padam_vRScati
164262,praBUtastrikakubDAma_pavitraM_maFgalaM_param,praBUtaH_trikakuB_DAma_pavitram_maFgalam_param
235910,abAdyavyaktatattvAntezvitTaM_varzaSataM_kramAt,ap_Adi_avyakta_tattva_antezu_itTam_varza_Satam_kramAt_
233326,zawsidDArTASca_deveSi_yavastvekaH_prakIrtitaH,zaw_sidDArTAH_ca_deveSi_yavaH_tu_ekaH_prakIrtitaH
16690,huJalByaH_her_DiH,hu_Ja_lByaH_her_DiH
283365,tanUruhaM_roma_loma_tadvRdDO_SmaSru_pummuKe,tanUruham_roma_loma_tad_vRdDO_SmaSru_pum_muKe
16964,atiSAyane_tamabizWanO,atiSAyane_tamap_izWanO
583519,tatrAsyAkASAtmakaM_SabdaH_SrotraM_lAGavaM_sOkzmyaM_vivekaSca_vAyvAtmakaM_sparSaH_sparSanaM_rOkzyaM_preraNaM_DAtuvyUhanaM_cezwASca_SArIryaH_agnyAtmakaM_rUpaM_darSanaM_prakASaH_paktirOzNyaM_ca_abAtmakaM_raso_rasanaM_SEtyaM_mArdavaM_snehaH_kledaSca_pRTivyAtmakaM_ganDo_GrANaM_gOravaM_sTEryaM_mUrtiSceti,tatra_asya_AkASa_Atmakam_SabdaH_Srotram_lAGavam_sOkzmyam_vivekaH_ca_vAyu_Atmakam_sparSaH_sparSanam_rOkzyam_preraNam_DAtu_vyUhanam_cezwAH_ca_SArIryaH_agni_Atmakam_rUpam_darSanam_prakASaH_paktiH_OzNyam_ca_ap_Atmakam_rasaH_rasanam_SEtyam_mArdavam_snehaH_kledaH_ca_pRTivI_Atmakam_ganDaH_GrANam_gOravam_sTEryam_mUrtiH_ca_iti
